Sl. No., Name of city,Population,Area,Waste Quantity,Waste generation
1 Agartala ,189998 ,63, 77, 0.40
2 Agra ,1275135 ,140 ,654, 0.51
3 Ahemdabad, 3520085 ,191 ,1302, 0.37
4 Aizwal ,228280 ,117 ,57, 0.25
5 Allahabad, 975393 ,71, 509, 0.52
6 Amritsar ,966862 ,77, 438, 0.45
7 Asansol ,745439 ,127 ,207, 0.44
8 Bangalore, 4301326 ,226 ,1669, 0.39
9 Bhopal ,1437354 ,286, 574, 0.40
10 Bhubaneswar, 648032, 135, 234, 0.36
11 Chandigarh ,808515, 114, 326, 0.40
12 Chennai ,4343645 ,174, 3036, 0.62
13 Coimbatore ,930882, 107, 530, 0.57
14 Daman ,35770 ,7 ,15, 0.42
15 Dehradun, 426674 ,67, 131, 0.31
16 Delhi ,10306452 ,1483 ,5922, 0.57
17 Dhanbad ,199258 ,24 ,77, 0.39
18 Faridabad ,1055938 ,216 ,448 ,0.42
19 Gandhinagar, 195985, 57 ,44, 0.22
20 Gangtok ,29354, 15, 13, 0.44
